"Timestamp","Language / Язык / Լեզու"," Նշեք Ձեր սեռը"," Նշեք Ձեր տարիքային խումբը","Նշեք Ձեր հետաքրքրության ոլորտը","Որտեղ եք մեծացել","Խոհանոցում ունեմ 12 սննդամթերք, որոնք կարող եմ անհատապես ուտել, բայց կարող եմ նաև 2-3 ժամ անցկացնել դրանցից համեղ ուտեստ պատրաստելու համար: Անհատապես կսպառե՞մ  բաղադրիչները, թե՞ կորոշեմ ինձ շատ համեղ ուտեստով հյուրասիրել:","Վերջին 2 տարվա ընթացքում քանի տեղ եք ճանապարհորդել։","Եթե ​​գումար ունենայի, վերջին երկու տարվա ընթացքում քանի՞ տեղ կճանապարհորդեի:","Ես վարում եմ ակտիվ սեռական կյանք","Ինչպիսի՞ն է ձեր տեսակետը մինչամուսնական սեռական հարաբերությունների վերաբերյալ:","Ես նախընտրում եմ վարել ակտիվ սեռական կյանք։","Եթե ​​ինձ 3000 դոլար տային, ինչ կանեի ես... (դուք պարտքեր չունեք)","Ձեզ առաջարկել են երկու աշխատանք ՝ աշխատանք Հայաստանում և աշխատանք այլուր: Կցանկանայի՞ք հեռու լինել ձեր ընտանիքից և հայրենիքից, վայելել ձեր կյանքը այլ երկրում, թե՞ կաշխատեիք Հայաստանում և մոտ կլինեիք ձեր ընտանիքին ու ընկերներին: ( երկու աշխատատեղերը Ձեզ նույն հնարավորությունները կտան)","Եթե ​​իմ զուգընկերը դեմ չլիներ մինչամուսնական սեռական հարաբերություններին, ես նույնպես կհամաձայնվեի:","Ես երբեմն նվերներ եմ գնում ինձ համար, չեմ հապաղում ինքս ինձ վրա գումար ծախսել:","Եթե ​​իմ զուգընկերը համաձայն չլիներ նախամուսնական սեռական հարաբերությունների հետ, ես կսպասեի մինչ ամուսնությունը:","Ես նախընտրում եմ համեղ կերակուրը, քան առողջ սնունդը (ըստ վերջին 3 կերակուրների)","Ես հակված եմ իմպուլսիվ որոշումներ կայացնել ՝ ելնելով իմ ունեցած հենց այդ պահի ցանկություններից։","Ես կնախընտրեի։","Ես նախընտրում եմ ունենալ այնպիսի զուգընկեր, ով","Отметьте ваш пол","Отметьте вашу возрастную группу","Что лучше всего описывает вашу сферу занятости (работа/учёба)?","Где вы выросли?","На кухне есть 12 ингредиентов, которые вы можете употребить раздельно, но также, потратив 2-3 часа, вы можете приготовить вкусное блюдо из этих ингредиентов. Съедите ли вы ингредиенты раздельно или приготовите изысканное вкусное блюдо?","Сколько мест вы посетили за последние 2 года? (путешествия)","Если бы у вас были средства, сколько мест вы бы посетили за последние 2 года? (путешествия)","Я веду активную половую жизнь.","Каковы ваши взгляды на добрачные половые отношения?","Я предпочитаю вести активную половую жизнь:","Если бы мне дали $ 3,000, я бы (у вас нет долгов):","Вам предложили 2 работы; в Армении и в другой стране. Были бы вы вдали от своей семьи и Родины, наслаждаясь жизнью в другой стране, или согласились бы на работу в Армении, будучи рядом со своей семьёй и друзьями?","Если бы мой партнёр НЕ был против добрачных половых отношений, я бы тоже согласился(ась).","Иногда я покупаю подарки для себя; мне не жалко тратить деньги на себя.","Если бы мой партнёр был против добрачных половых отношений, я бы тоже подождал до свадьбы.","Я предпочитаю вкусную еду вместо здоровой (основываясь на последние 3 съеденных мною блюда).","Я склонен (склонна) принимать импульсивные решения, основанные на желаниях, которые я имею в данный момент.","Я бы предпочёл(а) партнёра, который:","Я бы предпочёл(а) партнёра, который:","What is your sex?   ","What is your age group?   ","What best describes your field of interest (where you work/study)?  ","Where did you grow up?   ","In the kitchen, I have 12 foods that I can consume individually, but I can also spend 2-3 hours making a tasty dish out of them. Will I consume the ingredients individually or will I decide to treat myself with a fancy tasty dish?","How many places have I traveled to during the last two years?  ","If I had the money, how many places would I travel to within the last two years?","I am sexually active.  ","What is your view on premarital sex?"," I would rather be sexually active:","If I were given $ 3,000, I would:(you have no debts due)","You were offered two jobs, a job in Armenia, and a job elsewhere. Would you rather be away from your family and your homeland, to enjoy your life in a country elsewhere, or would you take the job in Armenia and be close to your family and friends. (both jobs will let you afford the same things)"," If my partner was okay with premarital sex, I would go along as well."," I sometimes buy gifts for myself, I do not hesitate to spend money on myself.","If my partner was not okay with premarital sex, I would wait until marriage too.","I prefer delicious food over healthy food (according to the last 3 meals)","I tend to make impulsive decisions based on the wishes I have at the exact moment.","I would rather have a:","I would rather have a partner who:"
"2021/04/01 12:24:43 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of arts and sciences","Large city (500,000+)","Consume the ingredients individually.","3","The hole world","False","It is okay","Both","Put it in a savings account","I would take the job in Armenia","False","Once in a while","True","True","No","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/01 12:51:07 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of natural and social sciences","Small city","Tasty dish","5+(in county)","10 or  more","False","It is okay","After marriage","Put it in a savings account","I would take the job elsewhere","True","Once in a while","True","True","No","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/01 12:55:02 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of natural and social sciences","Large city (500,000+)","Consume the ingredients individually.","3","4-5","False","It is not okay","After marriage","Put it in a savings account","I would take the job in Armenia","False","True","True","True","No","Really intelligent partner","Values tradition greatly and conforms to the social scripts."
"2021/04/01 1:20:50 PM GMT+4","Հայերեն","Արական","17 - 23","Եվ գիտություններ և արվեստ","Մեծ քաղաք (500,000+)","Համեղ ուտեստ","2","10","Սխալ է","Դա նորմալ է","Երկուսն էլ","Կգնայի գնումների, կգնեի իրեր իմ ու մտերիմներիս համար","Ես կաշխատեի այլ երկրում","Ճիշտ է","Ճիշտ է","Սխալ է","Ճիշտ է","Այո","Ունենալ գեղեցիկ զուգընկեր","Գնահատում է հաճույքը և բաց է նոր գաղափարների համար, որոնք դուրս են հանրային պահանջներից:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/04/01 2:55:40 PM GMT+4","Հայերեն","Իգական","17 - 23","Եվ գիտություններ և արվեստ","Փոքր քաղաք","Համեղ ուտեստ","3","4","Սխալ է","Դա նորմալ չէ","Ամուսնությունից հետո","Ես կխնայի","Ես կաշխատեի Հայաստանում","Սխալ է","Մեկ-մեկ","Ճիշտ է","Սխալ է","Ոչ","Ունենալ խելացի զուգընկեր","Գնահատում է հաճույքը և բաց է նոր գաղափարների համար, որոնք դուրս են հանրային պահանջներից:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/04/01 3:18:52 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of natural and social sciences","Large city (500,000+)","Consume the ingredients individually.","3","7","True","It is okay","Both","Put it in a savings account","I would take the job in Armenia","True","Once in a while","True","True","Yes","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/01 4:07:45 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of arts and sciences","Small city","Tasty dish","8","1","True","It is not okay","Both","Put it in a savings account","I would take the job elsewhere","False","True","True","True","Yes","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/01 4:24:09 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of arts and sciences","Small city","Consume the ingredients individually.","2","3","False","It is okay","Neither","Go shopping, buy things for me and my close ones","I would take the job in Armenia","True","Once in a while","True","True","No","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/01 4:49:25 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Social sciences","Large city (500,000+)","Tasty dish","nowhere outside of Armenia","As many as I could, probabaly twice a year to different places","False","It is okay","After marriage","Put it in a savings account","I would take the job in Armenia","False","True","True","False","Yes","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/01 4:54:25 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of arts and sciences","Large city (500,000+)","Tasty dish","2","4 or more","True","It is okay","Both","Put it in a savings account","I would take the job in Armenia","True","True","True","True","Yes","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/01 4:58:49 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of natural and social sciences","Small city","Tasty dish","2","2","False","It is not okay","After marriage","Put it in a savings account","I would take the job in Armenia","False","Once in a while","True","True","No","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/01 4:59:22 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Natural sciences","Small city","Consume the ingredients individually.","outside of the country 0","4","False","It is okay","After marriage","Put it in a savings account","I would take the job elsewhere","False","Once in a while","True","True","Yes","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/01 5:07:00 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of natural and social sciences","Small city","Consume the ingredients individually.","4","10","False","It is okay","Both","Go shopping, buy things for me and my close ones","I would take the job in Armenia","False","Very true","True","True","No","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/01 5:07:30 PM GMT+4","Հայերեն","Արական","17 - 23","Եվ հասարակական, և բնական գիտություններ","Մեծ քաղաք (500,000+)","Համեղ ուտեստ","2","2","Ճիշտ է","Դա նորմալ է","Մինչ ամուսնությունը","Ես կխնայի","Ես կաշխատեի Հայաստանում","Սխալ է","Մեկ-մեկ","Ճիշտ է","Ճիշտ է","Այո","Ունենալ խելացի զուգընկեր","Գնահատում է ավանդույթները և համապատասխանում է հանրային պահանջներին:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/04/01 5:09:44 PM GMT+4","Հայերեն","Իգական","17 - 23","Եվ հասարակական, և բնական գիտություններ","Մեծ քաղաք (500,000+)","Սննդամթերքները կսպառեմ անհատապես","2","6","Սխալ է","Դա նորմալ է","Ամուսնությունից հետո","Ես կխնայի","Ես կաշխատեի այլ երկրում","Սխալ է","Մեկ-մեկ","Ճիշտ է","Սխալ է","Ոչ","Ունենալ խելացի զուգընկեր","Գնահատում է ավանդույթները և համապատասխանում է հանրային պահանջներին:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/04/01 5:10:34 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Social sciences","Large city (500,000+)","Consume the ingredients individually.","3","It is not about money but the age restrictions.","False","It is not okay","After marriage","Go shopping, buy things for me and my close ones","I would take the job in Armenia","False","Very true","True","True","No","Really intelligent partner","Values tradition greatly and conforms to the social scripts."
"2021/04/01 5:27:28 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Male","17 - 23","Natural sciences","Small city","Consume the ingredients individually.","2","3","False","It is okay","After marriage","Put it in a savings account","I would take the job in Armenia","True","Once in a while","True","True","No","Really intelligent partner","Values tradition greatly and conforms to the social scripts."
"2021/04/01 5:40:11 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of natural and social sciences","Small city","Tasty dish","1","3","False","It is okay","After marriage","Go shopping, buy things for me and my close ones","I would take the job elsewhere","False","Very true","True","True","Yes","Really good looking partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/01 9:14:28 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Social sciences","Large city (500,000+)","Tasty dish","0","1","False","It is okay","Both","Go shopping, buy things for me and my close ones","I would take the job elsewhere","True","False","True","False","No","Really intelligent partner","Values tradition greatly and conforms to the social scripts."
"2021/04/01 9:16:46 PM GMT+4","Հայերեն","Իգական","36 - 49","Հասարակական գիտություններ","Մեծ քաղաք (500,000+)","Համեղ ուտեստ","1 -3","5","Ճիշտ է","Դա նորմալ չէ","Ամուսնությունից հետո","Ես կխնայի","Ես կաշխատեի Հայաստանում","Սխալ է","Մեկ-մեկ","Ճիշտ է","Ճիշտ է","Ոչ","Ունենալ խելացի զուգընկեր","Գնահատում է ավանդույթները և համապատասխանում է հանրային պահանջներին:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/04/01 9:37:01 PM GMT+4","Հայերեն","Իգական","36 - 49","Արվեստ","Մեծ քաղաք (500,000+)","Համեղ ուտեստ","Մեկ տեղ","Մեկ տեղ","Սխալ է","Դա նորմալ չէ","Ամուսնությունից հետո","Ես կխնայի","Ես կաշխատեի այլ երկրում","Սխալ է","Մեկ-մեկ","Ճիշտ է","Ճիշտ է","Այո","Ունենալ խելացի զուգընկեր","Գնահատում է հաճույքը և բաց է նոր գաղափարների համար, որոնք դուրս են հանրային պահանջներից:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/04/02 11:34:20 AM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Male","17 - 23","Mix of natural and social sciences","Large city (500,000+)","Tasty dish","0","I did not have the opportunity to travel. I was serving in the Army within the last 2 years.p","True","It is okay","Both","Go shopping, buy things for me and my close ones","I would take the job elsewhere","True","True","True","True","No","Really good looking partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/02 12:18:23 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Social sciences","Large city (500,000+)","Tasty dish","If you mean how many places you have traveled IDK, but I have traveled probably 8 places.","More, maybe 15","False","It is okay","After marriage","Put it in a savings account","I would take the job elsewhere","False","True","True","True","No","Really good looking partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/02 12:36:02 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of natural and social sciences","Large city (500,000+)","Tasty dish","Because of pandemic, I have traveled to various regions of Armenia only ; Lori, Vayots Dzor etc.","I would travel as much as my weekly and monthly holidays allow me to","False","It is not okay","After marriage","Put it in a savings account","I would take the job in Armenia","False","True","True","False","No","Really intelligent partner","Values tradition greatly and conforms to the social scripts."
"2021/04/02 1:10:31 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of natural and social sciences","Large city (500,000+)","Tasty dish","3","4-5","False","It is not okay","After marriage","Put it in a savings account","I would take the job in Armenia","False","Once in a while","True","True","No","Really intelligent partner","Values tradition greatly and conforms to the social scripts."
"2021/04/02 1:52:32 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Arts","Large city (500,000+)","Consume the ingredients individually.","Considering the situation of last year's traveling was minimum, I can say it was, but mainly in Armenia, I visited different ancient places of Armenia 2,3 times per month.","Of course many, I love traveling ","False","It is okay","Both","Put it in a savings account","I would take the job elsewhere","True","Very true","True","True","Yes","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/02 2:19:38 PM GMT+4","Русский","","","","","","","","","","","","","","","","","","","","Мужской","17 - 23","Социальные науки","Большой город (500,000+)","Приготовлю вкусное блюдо","4","США","Правда","Это нормально","Оба варианта","Отложил(а) их на сберегательный счёт","Я бы согласился(ась) на работу в другой стране","Правда","Очень верно","Правда","Правда","Правда","Очень умён","Ценит удовольствие и открыт для идей, вне общественных требований","","","","","","","","","","","","","","","","","","",""
"2021/04/02 9:56:36 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of natural and social sciences","Large city (500,000+)","Tasty dish","Maybe 5-10 in Armenia","10-15 abroad","False","It is okay","Both","Go shopping, buy things for me and my close ones","I would take the job elsewhere","True","True","True","True","Yes","Really intelligent partner","Values tradition greatly and conforms to the social scripts."
"2021/04/03 10:41:40 AM GMT+4","Հայերեն","Իգական","17 - 23","Եվ գիտություններ և արվեստ","Մեծ քաղաք (500,000+)","Համեղ ուտեստ","1","5 ","Սխալ է","Դա նորմալ է","Ոչ մեկը","Ես կխնայի","Ես կաշխատեի Հայաստանում","Սխալ է","Մեկ-մեկ","Ճիշտ է","Սխալ է","Այո","Ունենալ խելացի զուգընկեր","Գնահատում է հաճույքը և բաց է նոր գաղափարների համար, որոնք դուրս են հանրային պահանջներից:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
